local_filename,local_version,local_name,sha256_16char,classification,exact_ledger_match,other_ledger_versions
"20260513000004_firm_onboarding_booking_url.sql","20260513000004","firm_onboarding_booking_url","6b518628c3f69535","A_EXACT_MATCH","20260513000004",""
"20260513000005_firm_onboarding_channels_and_signature.sql","20260513000005","firm_onboarding_channels_and_signature","b256cc92667eb476","A_EXACT_MATCH","20260513000005",""
"20260513000006_firm_onboarding_gbp_admin_status.sql","20260513000006","firm_onboarding_gbp_admin_status","a1cb67658802ed44","A_EXACT_MATCH","20260513000006",""
"20260513000007_firm_onboarding_intake_doc_upload.sql","20260513000007","firm_onboarding_intake_doc_upload","7b8fc79064b50c8a","A_EXACT_MATCH","20260513000007",""
"20260513000008_firm_onboarding_practice_scope_and_systems.sql","20260513000008","firm_onboarding_practice_scope_and_systems","5ca74a77bab6c8ed","A_EXACT_MATCH","20260513000008",""
"20260513000009_voice_webhook_secret.sql","20260513000009","voice_webhook_secret","340b1da013ff978a","A_EXACT_MATCH","20260513000009",""
"20260514000001_intake_firms_channel_asset_ids.sql","20260514000001","intake_firms_channel_asset_ids","72f177a96ee78e2a","A_EXACT_MATCH","20260514000001",""
"20260514000002_screened_leads_actor_role.sql","20260514000002","screened_leads_actor_role","dab6050f935d3f32","A_EXACT_MATCH","20260514000002",""
"20260515000001_band_d_and_referred_status.sql","20260515000001","band_d_and_referred_status","44832d84ecdbd4e1","A_EXACT_MATCH","20260515000001",""
"20260515000002_screened_leads_utm_referrer.sql","20260515000002","screened_leads_utm_referrer","d45a3f41fd14f435","A_EXACT_MATCH","20260515000002",""
"20260516000001_channel_intake_sessions.sql","20260516000001","channel_intake_sessions","99ea11ec93b8f5d2","A_EXACT_MATCH","20260516000001",""
"20260516000002_intake_firms_meta_access_tokens.sql","20260516000002","intake_firms_meta_access_tokens","4e1c09b909672a7a","A_EXACT_MATCH","20260516000002",""
"20260516000003_unconfirmed_inquiries.sql","20260516000003","unconfirmed_inquiries","939692abdb45fe8b","A_EXACT_MATCH","20260516000003",""
"20260518_enable_rls_firm_onboarding_intake.sql","20260518","enable_rls_firm_onboarding_intake","7738b198abecbb4c","B_DUPLICATE_LEDGER_ROWS","20260518","20260518205041"
"20260520000001_firm_onboarding_directory_prep.sql","20260520000001","firm_onboarding_directory_prep","4d08a2aaa8147229","B_DUPLICATE_LEDGER_ROWS","20260520000001","20260520173822"
"20260520000002_firm_onboarding_notification_tracking.sql","20260520000002","firm_onboarding_notification_tracking","5709d9b0f6f95a4a","B_DUPLICATE_LEDGER_ROWS","20260520000002","20260520192341"
"20260520000003_s8p1_client_matters.sql","20260520000003","s8p1_client_matters","475e58cf684fc1cf","B_DUPLICATE_LEDGER_ROWS","20260520000003","20260522014558"
"20260520000004_s8p1_explainer_articles.sql","20260520000004","s8p1_explainer_articles","8142114d59d8b28c","B_DUPLICATE_LEDGER_ROWS","20260520000004","20260522014657"
"20260520000005_s8p1_firm_lawyers_roles.sql","20260520000005","s8p1_firm_lawyers_roles","7a6eb9995e259c09","B_DUPLICATE_LEDGER_ROWS","20260520000005","20260522014449"
"20260520000006_s8p1_intake_firms_routing.sql","20260520000006","s8p1_intake_firms_routing","8511d87884407d72","B_DUPLICATE_LEDGER_ROWS","20260520000006","20260522014515"
"20260520000007_s8p1_matter_messages.sql","20260520000007","s8p1_matter_messages","40662a6bacb56189","B_DUPLICATE_LEDGER_ROWS","20260520000007","20260522014628"
"20260520000008_s8p1_notification_batch_cron.sql","20260520000008","s8p1_notification_batch_cron","3f4cd16275f7f243","B_DUPLICATE_LEDGER_ROWS","20260520000008","20260522014741"
"20260520000009_s8p1_notification_outbox.sql","20260520000009","s8p1_notification_outbox","b73a4ab0269fb1e4","B_DUPLICATE_LEDGER_ROWS","20260520000009","20260522014728"
"20260521000001_intake_firms_ghl_location_id.sql","20260521000001","intake_firms_ghl_location_id","34a877818e9a6d6e","B_DUPLICATE_LEDGER_ROWS","20260521000001","20260521232106"
"20260521000002_intake_firms_voice_api_token.sql","20260521000002","intake_firms_voice_api_token","4afc8f294e32ec15","B_DUPLICATE_LEDGER_ROWS","20260521000002","20260521225705"
"20260525_channel_intake_sessions_recent_finalized_index.sql","20260525","channel_intake_sessions_recent_finalized_index","0d0470ca6c4e242c","B_DUPLICATE_LEDGER_ROWS","20260525","20260525172702"
"20260526000001_channel_sessions_screened_lead_link.sql","20260526000001","channel_sessions_screened_lead_link","360e235df771192a","B_DUPLICATE_LEDGER_ROWS","20260526000001","20260526133906"
"20260526000002_intake_firms_token_expiry.sql","20260526000002","intake_firms_token_expiry","bec5f55d2ddffd4e","B_DUPLICATE_LEDGER_ROWS","20260526000002","20260526040314"
"20260526000003_intake_firms_token_expiry_trigger.sql","20260526000003","intake_firms_token_expiry_trigger","10e270ea33f92142","B_DUPLICATE_LEDGER_ROWS","20260526000003","20260526134701"
"20260601_voice_callback_requests.sql","20260601","voice_callback_requests","ce539da131c03b54","B_DUPLICATE_LEDGER_ROWS","20260601","20260602001337"
"20260602_intake_firms_gemini_disabled_alert.sql","20260602","intake_firms_gemini_disabled_alert","75a11885b36c2939","B_DUPLICATE_LEDGER_ROWS","20260602","20260603011534"
"20260605175457_security_lockdown_anon_authenticated.sql","20260605175457","security_lockdown_anon_authenticated","6f6527c4da1717e2","A_EXACT_MATCH","20260605175457",""
"20260605_voice_callback_promoted_link.sql","20260605","voice_callback_promoted_link","5f2f7cca236f2d00","B_DUPLICATE_LEDGER_ROWS","20260605","20260605173558"
"20260609000001_otp_attempt_cap.sql","20260609000001","otp_attempt_cap","7e640abcc7f0759f","B_DUPLICATE_LEDGER_ROWS","20260609000001","20260610012500"
"20260609000002_processed_channel_messages.sql","20260609000002","processed_channel_messages","6b1dd326a6307272","B_DUPLICATE_LEDGER_ROWS","20260609000002","20260610012439"
"20260609000003_screened_leads_notification_state.sql","20260609000003","screened_leads_notification_state","530ff30a23365782","B_DUPLICATE_LEDGER_ROWS","20260609000003","20260610012451"
